Tag	Symbol	Mass (Isotopologue 0)	X	Y	Z
1	O		8.0140000	9.3770000	4.4650000
2	H		8.7210000	9.4820000	3.8200000
3	H		7.8580000	8.4100000	4.4390000
4	O		7.3170000	6.7440000	4.7930000
5	H		6.7710000	6.1560000	4.2460000
6	H		7.8200000	6.0600000	5.3150000
7	O		8.4080000	4.7980000	6.2330000
8	H		7.9920000	4.9850000	7.1170000
9	H		9.0160000	4.0880000	6.4810000
10	O		6.5490000	8.6600000	6.6660000
11	H		6.9900000	9.2970000	6.0510000
12	H		6.6950000	7.8340000	6.1420000
13	O		4.7330000	5.8590000	9.1730000
14	H		3.9180000	5.7000000	9.6630000
15	H		4.5470000	6.7420000	8.7750000
16	O		4.2590000	8.2680000	8.0520000
17	H		5.0920000	8.4320000	7.5530000
18	H		3.7310000	9.0320000	7.7920000
19	O		7.7410000	8.0280000	9.0520000
20	H		7.3330000	8.3200000	8.2110000
21	H		7.7630000	8.8470000	9.5580000
22	O		7.3340000	5.3890000	8.5760000
23	H		7.5930000	6.2910000	8.8840000
24	H		6.3800000	5.4090000	8.8380000
